id,order_id,invoice_number,issued_at,due_at,paid_at,total_amount,status
900001,1310,INV-00900001,2023-11-04 23:05:22,2023-12-04 23:05:22,2023-11-12 23:05:22,1123.82,paid
900002,1509,INV-00900002,2023-11-09 04:08:38,2023-12-09 04:08:38,2023-11-23 04:08:38,168.6,paid
900003,192,INV-00900003,2023-09-11 15:31:45,2023-10-11 15:31:45,2023-09-12 15:31:45,2810.61,paid
900004,1467,INV-00900004,2023-02-02 04:09:34,2023-03-04 04:09:34,2023-02-17 04:09:34,2950.44,paid
900005,1658,INV-00900005,2023-12-28 18:11:14,2024-01-27 18:11:14,2024-01-08 18:11:14,1396.58,paid
900006,441,INV-00900006,2023-07-12 20:16:44,2023-08-11 20:16:44,2023-07-16 20:16:44,1801.31,paid
900007,705,INV-00900007,2023-02-25 14:22:09,2023-03-27 14:22:09,,2685.78,overdue
900008,1993,INV-00900008,2023-06-21 21:07:52,2023-07-21 21:07:52,2023-07-12 21:07:52,3096.41,paid
900009,1765,INV-00900009,2023-06-29 02:58:46,2023-07-29 02:58:46,2023-07-02 02:58:46,238.66,paid
900010,467,INV-00900010,2023-08-05 21:05:42,2023-09-04 21:05:42,,1906.83,issued
900011,929,INV-00900011,2023-02-09 10:43:01,2023-03-11 10:43:01,2023-02-21 10:43:01,1055.44,paid
900012,547,INV-00900012,2023-01-06 00:24:21,2023-02-05 00:24:21,2023-01-27 00:24:21,863.98,paid
900013,1494,INV-00900013,2023-08-28 18:03:03,2023-09-27 18:03:03,2023-09-06 18:03:03,4947.72,paid
900014,1311,INV-00900014,2023-01-13 03:43:20,2023-02-12 03:43:20,2023-01-24 03:43:20,4215.83,paid
900015,1590,INV-00900015,2023-12-03 15:39:39,2024-01-02 15:39:39,,2011.81,overdue
900016,136,INV-00900016,2023-09-14 03:20:59,2023-10-14 03:20:59,,1071.01,overdue
900017,1023,INV-00900017,2023-06-12 00:35:41,2023-07-12 00:35:41,2023-06-21 00:35:41,706.76,paid
900018,1526,INV-00900018,2023-03-19 04:22:36,2023-04-18 04:22:36,2023-04-07 04:22:36,2147.88,paid
900019,1196,INV-00900019,2023-06-10 10:49:13,2023-07-10 10:49:13,2023-06-15 10:49:13,2552.54,paid
900020,187,INV-00900020,2023-12-07 20:00:29,2024-01-06 20:00:29,2023-12-13 20:00:29,3962.48,paid
900021,865,INV-00900021,2023-03-01 21:41:14,2023-03-31 21:41:14,2023-03-21 21:41:14,4980.65,paid
900022,1084,INV-00900022,2023-08-25 03:51:28,2023-09-24 03:51:28,,3404.61,issued
900023,235,INV-00900023,2023-01-16 04:26:59,2023-02-15 04:26:59,,566.65,overdue
900024,891,INV-00900024,2023-10-12 07:28:50,2023-11-11 07:28:50,2023-11-05 07:28:50,4380.51,paid
900025,540,INV-00900025,2023-04-19 17:29:44,2023-05-19 17:29:44,2023-04-23 17:29:44,4353.89,paid
900026,612,INV-00900026,2023-02-07 05:31:00,2023-03-09 05:31:00,2023-02-12 05:31:00,1875.83,paid
900027,331,INV-00900027,2023-03-30 04:41:26,2023-04-29 04:41:26,,2448.14,overdue
900028,230,INV-00900028,2023-06-29 12:48:14,2023-07-29 12:48:14,2023-07-07 12:48:14,4391.27,paid
900029,1940,INV-00900029,2023-11-21 20:52:54,2023-12-21 20:52:54,2023-11-24 20:52:54,4890.14,paid
900030,1091,INV-00900030,2023-10-28 19:19:32,2023-11-27 19:19:32,2023-11-15 19:19:32,833.98,paid
900031,1081,INV-00900031,2023-02-24 08:35:39,2023-03-26 08:35:39,,3567.62,issued
900032,818,INV-00900032,2023-01-22 00:20:20,2023-02-21 00:20:20,2023-02-08 00:20:20,2262.92,paid
900033,508,INV-00900033,2023-09-07 21:40:08,2023-10-07 21:40:08,2023-09-26 21:40:08,2774.07,paid
900034,1206,INV-00900034,2023-09-10 23:44:18,2023-10-10 23:44:18,2023-10-01 23:44:18,303.78,paid
900035,139,INV-00900035,2023-12-15 11:58:11,2024-01-14 11:58:11,2023-12-23 11:58:11,1399.6,paid
900036,995,INV-00900036,2023-09-13 04:22:02,2023-10-13 04:22:02,2023-10-02 04:22:02,2885.3,paid
900037,498,INV-00900037,2023-05-03 09:10:46,2023-06-02 09:10:46,2023-05-07 09:10:46,3298.32,paid
900038,726,INV-00900038,2023-05-29 09:01:57,2023-06-28 09:01:57,2023-06-22 09:01:57,280.31,paid
900039,1339,INV-00900039,2023-02-04 20:25:01,2023-03-06 20:25:01,2023-02-28 20:25:01,1703.12,paid
900040,1765,INV-00900040,2023-11-06 14:56:49,2023-12-06 14:56:49,2023-11-24 14:56:49,2248.58,paid
900041,865,INV-00900041,2023-09-29 13:51:31,2023-10-29 13:51:31,2023-10-02 13:51:31,2221.22,paid
900042,1765,INV-00900042,2023-03-25 20:26:07,2023-04-24 20:26:07,2023-04-12 20:26:07,4181.78,paid
900043,1985,INV-00900043,2023-11-14 15:23:38,2023-12-14 15:23:38,2023-11-30 15:23:38,2411.98,paid
900044,1771,INV-00900044,2023-06-09 21:51:55,2023-07-09 21:51:55,2023-06-10 21:51:55,4926.69,paid
900045,544,INV-00900045,2023-05-13 13:36:52,2023-06-12 13:36:52,2023-06-06 13:36:52,4977.16,paid
900046,1139,INV-00900046,2023-01-27 06:16:52,2023-02-26 06:16:52,2023-02-06 06:16:52,1096.33,paid
900047,120,INV-00900047,2023-03-10 04:15:34,2023-04-09 04:15:34,2023-03-21 04:15:34,295.25,paid
900048,1197,INV-00900048,2023-05-01 05:41:31,2023-05-31 05:41:31,,293.83,issued
900049,1041,INV-00900049,2023-11-20 17:14:04,2023-12-20 17:14:04,2023-11-23 17:14:04,3379.31,paid
900050,482,INV-00900050,2023-06-08 19:38:07,2023-07-08 19:38:07,,2898.81,issued
900051,82,INV-00900051,2023-02-17 21:00:55,2023-03-19 21:00:55,2023-03-08 21:00:55,2830.48,paid
900052,648,INV-00900052,2023-08-20 16:33:48,2023-09-19 16:33:48,2023-08-31 16:33:48,1201.04,paid
900053,811,INV-00900053,2023-10-25 00:29:53,2023-11-24 00:29:53,2023-11-05 00:29:53,4645.8,paid
900054,1917,INV-00900054,2023-11-24 23:39:40,2023-12-24 23:39:40,2023-12-13 23:39:40,4980.52,paid
900055,151,INV-00900055,2023-03-31 16:14:22,2023-04-30 16:14:22,2023-04-05 16:14:22,4666.96,paid
900056,1805,INV-00900056,2023-11-26 15:06:22,2023-12-26 15:06:22,2023-12-02 15:06:22,2196.54,paid
